Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
415,Which authority has introduced a new framework to onboard Cooperative Banks and enable Aadhaar-based authentication services in India?,RBI,SEBI,UIDAI,NABARD,Ministry of Finance,UIDAI
416,"Which city recently saw the opening of three Niveshak Seva Kendras by IEPFA in collaboration with SEBI, CDSL, NSDL, BSE, and NSE?",Mumbai,Delhi,Chennai,Bengaluru,Hyderabad,Hyderabad
417,"Mahesh Babu Foundation, which recently got FCRA approval, is primarily involved in which of the following areas?",Wildlife Conservation,Heart surgeries & child healthcare,Agricultural Development,Space Research & Innovation,Disaster Relief & Management,Heart surgeries & child healthcare
418,"Which city has launched the “One Freezone Passport”, a unified licensing system enabling companies to operate across all its free zones under a single license?",Dubai,Riyadh,Abu Dhabi,Doha,Muscat,Dubai
419,India Post recently launched IT 2.0 – Advanced Postal Technology (APT). Which cloud platform does it run on?,Bharat Cloud,MeghRaj 2.0 Cloud,DigiCloud,National Data Grid,Udaan Cloud,MeghRaj 2.0 Cloud
420,Rayansh Gupta from Ludhiana recently won 1 Gold and 1 Silver medal for India at the 18th International Earth Science Olympiad (IESO 2025). Where was the event held?,"Tokyo, Japan","Jining, China","Seoul, South Korea","New Delhi, India","Paris, France","Jining, China"
421,"Which country has been declared free of rubella as a public health problem by the World Health Organization (WHO) on August 18, 2025?",India,Sri Lanka,Nepal,Bhutan,Bangladesh,Nepal
422,India recently signed a Terms of Reference (ToR) for FTA negotiations with which regional economic bloc?,ASEAN,European Union,Eurasian Economic Union (EAEU),BRICS Economic Forum,SAARC Economic Alliance,Eurasian Economic Union (EAEU)
423,Exercise Ulchi Freedom Shield is a joint military exercise conducted annually by which two countries?,South Korea & United States,North Korea & China,Japan & United States,India & United States,South Korea & Japan,South Korea & United States
424,"Parliament recently passed the Indian Institutes of Management (Amendment) Bill, 2025. Where will the new IIM be established?",Shillong,Guwahati,Imphal,Itanagar,Kohima,Guwahati
425,"Which ministry/department is leading the “Made in India Label Scheme”, a voluntary certification initiative to establish a trustworthy identity for Indian products?",Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Ministry of MSME,NITI Aayog,Ministry of Consumer Affairs,Department for Promotion of Industry and Internal Trade (DPIIT)
426,Which footballer has become the first man to win the Professional Footballers’ Association (PFA) Player of the Year award three times?,Kevin De Bruyne,Erling Haaland,Cristiano Ronaldo,Harry Kane,Mohamed Salah,Mohamed Salah
427,"Which global campaign, endorsed by the African Union, aims to replace the Mercator projection map with one showing Africa’s true size?",Map Equality Campaign,Correct The Map,Africa First Initiative,True Size Project,Equal Continent Movement,Correct The Map
428,"Which state assembly recently cleared amendments to the UCC and Anti- Conversion Bills, along with passing a new Minority Education Law in 2025?",Uttar Pradesh,Gujarat,Uttarakhand,Madhya Pradesh,RajastLhan,Uttarakhand
429,"Recently, five crucial departments of South-Central Railway (SCR) came under the leadership of women officers. Which of the following is NOT one of those departments?",Operations,Security,Finance,Engineering,Medical,Engineering
430,India recently test-fired the long-range ballistic missile Agni-5. What is its maximum strike range?,"2,000 km","3,500 km","5,000 km","7,500 km","10,000 km","5,000 km"
431,What is the New Product launched by South Indian Bank ?,SIB Home Xpress,SIB Business Xpress,SIB Gold Xpress,SIB Loan Smart,SIB Credit Plus,SIB Gold Xpress
432,Which company became the first to file for IPO at GIFT IFSC targeting $12 million?,Kotak Mahindra Bank Ltd,Hindustan Oil Exploration Ltd,XED Executive Development Ltd,JSW Group,ICICI Securities,XED Executive Development Ltd
433,Employees’ Provident Fund Organization (EPFO) recently increased the ex- gratia benefit under its Death Relief Fund for Central Board employees to what amount?,₹10 lakh,₹12 lakh,₹15 lakh,₹20 lakh,₹8.80 lakh,₹15 lakh
434,WestBridge Capital acquired 15% stake in which AMC for ₹450 crore?,HDFC AMC,ICICI Prudential AMC,Edelweiss AMC,Nippon India AMC,SBI Mutual Fund,HDFC AMC
435,Which ride-hailing platform was recently penalized by the Central Consumer Protection Authority (CCPA) for publishing misleading advertisements and engaging in unfair trade practices?,Ola,Uber,Rapido,Meru Cabs,InDrive,Rapido
436,Which of the following regions in India is NOT recognized as a GIAHS site by FAO?,Koraput (Odisha),Kuttanad (Kerala),Saffron Heritage (Kashmir),Sundarbans (West Bengal),None of the above,Sundarbans (West Bengal)
437,"Recently, simultaneous translation of parliamentary proceedings has been made available in how many languages of the Eighth Schedule of the Constitution?",18,20,21,22,25,22
438,Engineers India Limited (EIL) recently signed an agreement with NPCIL for the development of which type of nuclear technology?,Fast Breeder Reactors,Pressurized Heavy Water Reactors,Bharat Small Modular Reactors (BSMRs),Fusion Reactors,Thorium-based Reactors,Bharat Small Modular Reactors (BSMRs)
439,Who have been appointed as observers for the upcoming 17th Vice- Presidential Election of India 2025?,Sushil Kumar Lohani and D. Anandan,CP Radhakrishnan and B Sudershan Reddy,Rajnath Singh and Nirmala Sitharaman,Amit Shah and Piyush Goyal,Venkaiah Naidu and M. Venkaiah,Sushil Kumar Lohani and D. Anandan
440,What recent change has the National Tiger Conservation Authority (NTCA) made regarding tiger corridors?,Expanded the definition to include all forest areas,Restricted the definition to the 32 “least cost pathways” from its 2014 report,Declared all tiger habitats as protected zones,Allowed unrestricted industrial development in tiger corridors,Merged tiger corridors with national highways planning,Restricted the definition to the 32 “least cost pathways” from its 2014 report
441,India secured which position at the International Olympiad in Artificial Intelligence (IOAI) 2025 on its debut?,1st,2nd,3rd,5th,10th,3rd
442,NASA recently introduced the ‘Surya Heliophysics Foundational Model (Surya)’. What is its primary purpose?,Study of Exoplanets,Asteroid Mining Research,Human Spaceflight Simulation,Forecasting Space Weather,Deep Ocean Exploration,Forecasting Space Weather
443,What is the target for India-Russia bilateral trade by 2030?,$50 billion,$75 billion,$100 billion,$150 billion,$200 billion,$100 billion
444,"Which Indian city is set to host three major international sports events in 2025, including the Commonwealth Weightlifting Championship, Asian Aquatics Championship, and AFC U-17 Asian Cup Qualifiers?",New Delhi,Mumbai,Bengaluru,Ahmedabad,Hyderabad,Ahmedabad
445,What is the new renewal fee for imported four-wheeler vehicles older than 20 years?,"₹20,000","₹50,000","₹80,000","₹1,00,000","₹1,50,000","₹80,000"
446,"Recently, who among the following pledged to donate their organs at Army Hospital (Research & Referral), giving a boost to the Armed Forces Organ Retrieval & Transplantation Authority (AORTA)?",General Anil Chauhan (CDS),Lt. Gen. (Retd.) Raj Shukla,Admiral Dinesh Tripathi & Mrs. Tripathi,Air Chief Marshal VR Chaudhari & Mrs. Chaudhari,General Upendra Dwivedi (COAS) & Mrs. Sunita Dwivedi,General Upendra Dwivedi (COAS) & Mrs. Sunita Dwivedi
447,Who is the author of the book ‘Justice Denied Justice Lost’ that discusses the judiciary and the Soumitra Sen case?,Arundhati Roy,Kanchan Chakraborty,Ramachandra Guha,Barkha Dutt,Shashi Tharoor,Kanchan Chakraborty
448,What is the purpose of Exercise Samanvay Shakti 2025 inaugurated in Assam?,To conduct joint naval drills,To foster military-civil integration and coordinated regional response,To test new missile systems,To promote international military cooperation,To organize adventure sports for civilians,To foster military-civil integration and coordinated regional response
449,Where will the 28th National Conference on e-Governance (NCeG) 2025 be held?,"Vishakhapatnam, Andhra Pradesh","Bengaluru, Karnataka",New Delhi,"Jaipur, Rajasthan","Bhopal, Madhya Pradesh","Vishakhapatnam, Andhra Pradesh"
450,"British-Indian industrialist Lord Swraj Paul, who recently passed away, was the founder of which multinational company?",OneWeb,Starlink Satellite Communication Pvt Ltd,HughesNet,Viasat,BSNL Satellite,Starlink Satellite Communication Pvt Ltd
451,"Recently, RBI announced premature redemption of 28 SGBs. What is the fixed repurchase price set by RBI?","₹8,750 per unit","₹9,500 per unit","₹10,070 per unit","₹10,500 per unit","₹11,000 per unit","₹10,070 per unit"
452,Japan International Cooperation Agency (JICA) recently invested USD 40 million in which fund?,Global MSME Growth Fund,Asia–Africa Trade Boost Fund,Global Supply Chain Support Fund,Emerging Markets SME Fund,Development & Innovation Fund,Global Supply Chain Support Fund
453,Who has been appointed as the Chairperson of Payments Council of India (PCI) for the 2025–2027 term?,Vishwas Patel,M N Srinivasu,Nalin Bansal,Ramesh Sobti,Rajesh Kumar,Nalin Bansal
454,OpenAI will open its first India office in which city?,New Delhi,Hyderabad,Bengaluru,Mumbai,Chennai,New Delhi
455,Until which year has the government extended the Fortified Rice Scheme to combat micronutrient deficiencies in India?,2025,2026,2027,2028,2030,2028
456,ISRO recently conducted its first Integrated Air Drop Test (IADT-01) for which Gaganyaan system?,Launch Vehicle Mark-3,Crew Escape System,Parachute-based deceleration system,Vyommitra robot deployment system,Low Earth Orbit stabilization system,Parachute-based deceleration system
457,Which Indian energy sector company has become the first to join the Renewable Energy 100 (RE100) Initiative?,NTPC Limited,Adani Green Energy,Tata Power,Suzlon Group,ReNew Power,Suzlon Group
458,"Recently, Adani Group announced the construction of a ₹600-crore logistics park in which state?",Gujarat,Maharashtra,Kerala,Tamil Nadu,Andhra Pradesh,Kerala
459,Kreditanstalt für Wiederaufbau (KfW) recently extended EUR 150 million to which Indian PSU?,Rural Electrification Corporation (REC),National Thermal Power Corporation (NTPC),Power Finance Corporation Limited (PFC),Indian Renewable Energy Development Agency (IREDA),Energy Efficiency Services Limited (EESL),Power Finance Corporation Limited (PFC)
460,Which Indian state has been declared the first fully digitally literate state in India?,Tamil Nadu,Karnataka,Gujarat,Maharashtra,Kerala,Kerala
461,The Delhi Government recently launched the ‘Government on Wheels’ campaign. What is its main objective?,Digitalisation of government offices,On-site problem-solving across departments,Launch of new public transport routes,Monitoring pollution levels in Delhi,Promoting e-governance services,On-site problem-solving across departments
462,How many chip-design projects has the Government of India sanctioned under the Design Linked Incentive (DLI) Scheme to boost semiconductor design capabilities?,12,18,23,30,35,23
463,"The new Income-Tax Act, 2025 will come into effect from which date?",1 April 2025,21 August 2025,1 April 2026,1 January 2026,1 July 2026,1 April 2026
464,India’s first urban public transport ropeway is being trialed in which city?,Varanasi,Mumbai,Delhi,Jaipur,Lucknow,Varanasi
465,Which new bridge did PM Modi inaugurate in Bihar to improve connectivity over the Ganga?,Mahatma Gandhi Setu,Aunta-Simaria Bridge,Vikramshila Setu,Rajendra Setu,Digha-Sonpur Bridge,Aunta-Simaria Bridge
466,"Recently, the government approved ₹6,982 crore as additional capex support in 2025 for which telecom company?",Airtel,Jio,Vodafone Idea,BSNL,MTNL,BSNL
467,Who has been appointed as the President of the Boxing Federation of India (BFI) for a third consecutive term?,Pramod Kumar,Pon Baskaran,Ajay Singh,Abhinav Bindra,Rajesh Tyagi,Ajay Singh
468,IIT Madras recently launched the FedEx SMART Centre in collaboration with which company?,UPS (United Parcel Service),DHL Express,Federal Express Corporation (FedEx),Blue Dart Express,Amazon Transportation Services,Federal Express Corporation (FedEx)
469,"Recently, INS Kadmatt completed a 3-day port call to strengthen naval cooperation. Which country was it?",Sri Lanka,Indonesia,Malaysia,Vietnam,Thailand,Indonesia
470,"The Marbat Festival, recently in news, is celebrated in which Indian city?",Pune,Nagpur,Indore,Raipur,Nashik,Nagpur
471,What was the primary objective of Iran’s “Sustainable Power 1404” missile drills in the Gulf of Oman?,To promote international maritime trade,"To improve combat readiness, command systems, and deterrence",To conduct joint drills with India,To explore undersea resources,To test nuclear weapons,"To improve combat readiness, command systems, and deterrence"
472,Raksha Mantri Shri Rajnath Singh recently interacted with women officers from 15 countries during which event in New Delhi?,UN Women in Defence Summit,UN Women Military Officers Course (UNWMOC-2025),International Women Peacekeepers Meet,Global Women Leadership Forum,Women in Armed Forces Seminar,UN Women Military Officers Course (UNWMOC-2025)
473,"As per SEBI’s recent approval, what will be the maximum voting rights of LIC in IDBI Bank after its reclassification as a public shareholder?",5%,10%,15%,20%,25%,10%
474,Who has been appointed as the Chairman of the reconstituted Advisory Board for Banking and Financial Frauds (ABBF) in August 2025?,Rajni Kant Mishra,Alok Kumar Choudhary,Suresh N. Patel,Sarada Kumar Hota,Ravikant,Suresh N. Patel
475,"Recently, which bank (after SBI) has classified Reliance Communications’ loan account and Anil Ambani as ‘fraud’?",Punjab National Bank,Bank of Baroda,Bank of India,Canara Bank,Indian Bank,Bank of India
476,RBI has approved which Japanese bank to acquire up to 24.99% stake in Yes Bank?,Mizuho Bank,MUFG Bank,Sumitomo Mitsui Banking Corporation (SMBC),Japan Post Bank,Resona Holdings,Sumitomo Mitsui Banking Corporation (SMBC)
477,ISRO recently unveiled a model of the Bharatiya Antariksh Station (BAS). By which year is India planning to launch its first module?,2026,2028,2030,2032,2035,2028
478,Who is chairing the two newly constituted High-Powered Groups (HPGs) set up by the Government of India in 2025?,Amit Shah,Rajiv Gauba,Rajnath Singh,TVS Swaminathan,N.K. Singh E. N.K. Singh / ए न. क े. ,Rajiv Gauba
479,"Recently, which country officially joined the India-led International Big Cat Alliance (IBCA) to protect seven species of big cats?",Nepal,Bhutan,Sri Lanka,Bangladesh,Myanmar,Nepal
480,Which countries will co-host the 2027 ODI World Cup?,"South Africa, Australia, New Zealand","South Africa, Namibia, Zimbabwe","India, Sri Lanka, Bangladesh","England, Ireland, Scotland","Pakistan, UAE, Oman","South Africa, Namibia, Zimbabwe"
481,Government e-Marketplace (GeM) recently crossed which milestone in Gross Merchandise Value (GMV)?,₹5 Lakh Crore,₹10 Lakh Crore,₹12 Lakh Crore,₹15 Lakh Crore,₹20 Lakh Crore,₹15 Lakh Crore
482,Where did the first World Humanoid Robot Games take place in 2025?,"Tokyo, Japan","Seoul, South Korea","Beijing, China",Singapore,"New Delhi, India","Beijing, China"
483,What is the purpose of Operation Sanskar launched by Dungarpur Police in Rajasthan?,To curb cyber frauds,To counter glorification of criminal activities on social media,To tackle drug smuggling,To control communal violence,To prevent human trafficking,To counter glorification of criminal activities on social media
484,Which Indian Test specialist announced his retirement from all forms of cricket in 2025?,Ajinkya Rahane,Rohit Sharma,Virat Kohli,Shikhar Dhawan,Cheteshwar Pujara,Cheteshwar Pujara
485,The International Solar Alliance (ISA) will establish a Global Capability Centre (GCC) in Indi,What is its envisioned role? A. Training astronauts for space missions,Functioning as a hub connecting centres of excellence worldwide,Developing nuclear fusion technology,Manufacturing satellites for renewable energy mapping,Expanding India’s deep-sea mineral exploration,Functioning as a hub connecting centres of excellence worldwide
486,Where will the 14th edition of the India–Thailand Joint Bilateral Military Exercise MAITREE (2025) be conducted?,"Umroi, Meghalaya","Jaisalmer, Rajasthan","Fort Vachiraprakan, Thailand","Chiang Mai, Thailand","Pune, Maharashtra / प ुण े, म ह ा र ा ष्ट्र","Umroi, Meghalaya"
487,"Who is the author of the books ‘Ramayana Katha ki Vishva-Yatra’, ‘Hamari Sanskritik Rashtriyata’, and ‘Purvajon ki Punya-Bhoomi’?",Dr. Ramesh Pokhriyal Nishank,Dr. K. Sivan,Dr. Bibek Debroy,Dr. Subramanian Swamy,Dr. Vinod Kumar Tiwari,Dr. Vinod Kumar Tiwari
488,The Indian government has granted clearance for acquisition of six advanced submarines under which project?,Project 75 Alpha,Project 75 India,Project 76 India,Project Varuna,Project Samudra,Project 75 India
489,Which state government recently approved a ₹600 crore project with Nelco Limited (Tata Power subsidiary) to develop skill education centres under the Samagra Shiksha Axom (SSA) framework?,Gujarat,Assam,Maharashtra,Karnataka,Odisha,Assam
490,Who has been appointed as the Head Coach of Pretoria Capitals for the SA20 2026 season?,Ricky Ponting,Jonathan Trott,Sourav Ganguly,Gary Kirsten,Jacques Kallis,Sourav Ganguly
491,Who has been appointed as the new Deputy National Security Adviser (NSA) to handle internal affairs?,Ajit Doval,Anish Dayal Singh,Rajiv Jain,Samant Kumar Goel,Arvind Kumar,Anish Dayal Singh
492,Which state topped the Khelo India Water Sports Festival 2025 medal tally held in Srinagar?,Odisha,Kerala,Punjab,Uttar Pradesh,Madhya Pradesh,Madhya Pradesh
493,Who has been appointed as the Vice President & Chief Risk Officer (CRO) of the New Development Bank (NDB)?,Urjit Patel,Rajiv Ranjan,Raghuram Rajan,Shaktikanta Das,Dilma Rousseff,Rajiv Ranjan
494,"As of August 21, 2025, the total gross enrolments under Atal Pension Yojana (APY) have crossed which milestone?",5.25 crore,6.40 crore,7.50 crore,8.11 crore,9.25 crore,8.11 crore
495,Which global rating agency recently retained India’s sovereign credit rating at ‘BBB-’ with a Stable Outlook?,S&P Global,Moody’s,Fitch Ratings,Morningstar DBRS,CRISIL,Fitch Ratings
496,"As per SBI Research’s latest Ecowrap report, what is the estimated GDP growth of India in Q1 (April–June) of FY26?",6.8%–7.0%,6.5%,6.3%,7.2%,7.5%,6.8%–7.0%
497,"What is India’s women’s employment rate (WPR) in 2023–24, as per Labour Ministry data? L",22%,34.5%,40.3%,47.53%,55%,40.3%
498,Where did the bilateral meeting between the Foreign Ministers of India and China take place in 2025?,"Beijing, China","New Delhi, India","Shanghai, China","Mumbai, India","Tianjin, China","New Delhi, India"
499,"Which city hosted the 18th edition of the International Olympiad on Astronomy and Astrophysics (IOAA 2025), the first time India organised the event?",Bengaluru,Kolkata,New Delhi,Mumbai,Hyderabad,Mumbai
500,Which initiative was launched by the Delhi Cantonment Board under the Ministry of Defence to support the education and welfare of children of construction workers?,Project Aarohan,Aarambh,Project Shiksha,Bal Vikas Kendra,Gyan Deep,Aarambh
501,"Who has been appointed as the new CEO of Tata Digital, effective September 1, 2025?",Naveen Tahilyani,Sajith Sivanandan,Ajay Piramal,Sanjiv Mehta,Ratan Tata,Sajith Sivanandan
502,"Which organization signed an MoU with the Karnataka Agriculture Department to provide tech-driven, real-time advisory services to farmers?",Infosys,Wipro,NASSCOM,ISRO,Bharat Electronics Limited (BEL),Bharat Electronics Limited (BEL)
503,"Recently, the Central Industrial Security Force (CISF) launched its first all- women commando unit. Where did the training of the first batch begin?","Barwaha, Madhya Pradesh",Hyderabad,"Gwalior, Madhya Pradesh","Pune, Maharashtra",Delhi,"Barwaha, Madhya Pradesh"
504,Why has the Department of Posts temporarily suspended booking of most postal items to the USA from 25th August 2025?,Due to closure of postal services in the USA,Due to Executive Order removing duty-free exemption for goods above USD 800,Due to strike by postal workers in India,Due to weather disruptions affecting flights,Due to increase in postal rates,Due to Executive Order removing duty-free exemption for goods above USD 800
505,Which state government has announced ₹1 crore insurance cover for municipal staff in case of accidental death?,Telangana,Andhra Pradesh,Karnataka,Tamil Nadu,Kerala,Andhra Pradesh
506,India and Fiji recently agreed to strengthen cooperation in which of the following sectors?,Defence and Health,Trade and Agriculture,Maritime Security,All of the above,Only Defence,All of the above
507,Which initiative did NHAI launch in collaboration with Vertis Infrastructure Trust to support the education of toll plaza employees’ children?,Project Udaan,Project Prerna,Project Shiksha,Project Gyan,Project Aarohan,Project Aarohan
508,Which institution recently hosted the launch of MARa-THON 2025 – India’s Maritime Hackathon?,IIT Delhi,IIT Madras,IIT Bombay,IIT Kharagpur,IIT Kanpur,IIT Madras
509,What is the revenue target set for IREDA in FY26 under the MoU with MNRE?,"₹5,957 crore","₹6,743.32 crore","₹7,960 crore","₹8,200 crore","₹11,740 crore","₹8,200 crore"
510,When is World Lake Day observed?,5 June,27 August,22 March,8 June,11 December,27 August
511,NaBFID is planning to raise up to how much from international markets in FY26?,$500 million,$750 million,$5 billion,$2 billion,$1 billion,$1 billion
512,Which electric vehicle company partnered with the State Bank of India (SBI) to provide financing solutions for its customers in India?,Tesla,VinFast Auto India,BYD,Mahindra Electric,Ola Electric,VinFast Auto India
513,"Which global investment banking firm has been appointed as the sole transaction advisor for the stake sale in four Indian public sector banks (UCO Bank, Central Bank of India, Punjab & Sind Bank, and Indian Overseas Bank)?",Morgan Stanley,JP Morgan,Citigroup,Goldman Sachs,Barclays,Goldman Sachs
514,RBI has recently asked banks to increase scrutiny on funds flowing indirectly from which country due to high-risk concerns?,China,Pakistan,Afghanistan,Sri Lanka,Bangladesh,Pakistan
515,"Which country launched Ryt Bank, the world’s first Artificial Intelligence (AI)-powered bank developed for local users?",Singapore,Malaysia,India,Japan,South Korea,Malaysia
516,Indian weightlifter Mirabai Chanu won gold in the women’s 48kg category at the Commonwealth Weightlifting Championships 2025 held in which Indian city?,New Delhi,Chennai,Ahmedabad,Patna,Pune,Ahmedabad
517,The Central Government has revised wheat stock limits applicable till which date?,31st March 2025,31st December 2025,31st March 2026,30th June 2026,31st March 2027,31st March 2026
518,How many teachers have been selected for the National Teachers’ Awards 2025 conferred on 5th September 2025?,35,40,42,45,55,45
519,"Which premier telecom R&D centre of India celebrated its 42nd Foundation Day in Delhi in 2025, marking 41 years since its founding?",DRDO,ISRO,C-DOT,BEL,BARC,C-DOT
520,Till which year has the Union Cabinet extended the PM SVANidhi Scheme after restructuring?,2025,2026,2027,2030,2035,2030
521,Who will lead the Indian Parliamentary Delegation at the 68th Commonwealth Parliamentary Conference (CPC) in Barbados (October 2025)?,Rajnath Singh,Om Birla,Harivansh,Jagdeep Dhankhar,Nirmala Sitharaman,Om Birla
522,Who has been elected as the new Prime Minister of Lithuania in 2025?,Gintautas Paluckas,Inga Ruginiene,Gitanas Nausėda,Dalia Grybauskaitė,Jonas Savickas,Inga Ruginiene
523,"Which country, along with the United States and allied nations, is hosting the multinational military exercise Super Garuda Shield 2025?",Philippines,Japan,Indonesia,South Korea,Singapore,Indonesia
524,Scientists from which Indian research institute have developed a new method using gold nanoclusters to enable early detection of Parkinson’s disease?,INST Mohali,CSIR-NCL Pune,IISc Bengaluru,AIIMS New Delhi,TIFR Mumbai,TIFR Mumbai
525,The Supreme Court formed a Special Investigation Team (SIT) to probe allegations against which wildlife facility?,Nandankanan Zoological Park,Vantara Wildlife Facility,Bannerghatta Biological Park,Arignar Anna Zoological Park,Gir National Park,Vantara Wildlife Facility
526,Where will the Chess World Cup 2025 be hosted?,Hyderabad,Tbilisi,Goa,Chennai,Moscow,Goa
527,"Which city in Tamil Nadu became the first to adopt the globally recognized City Biodiversity Index (CBI) framework, also known as the Singapore Index?",Coimbatore,Madurai,Salem,Tiruchirappalli,Chennai,Chennai
528,"Bimalendra Mohan Pratap Mishra, popularly known as ‘Raja Ayodhya’, who passed away recently, held which significant role related to the Shri Ram Janmabhoomi site?",Chief Priest of Ram Janmabhoomi,Member of Shri Ram Janmabhoomi Teerth Kshetra Trust,Head of Ayodhya Municipal Corporation,Legal Advisor for Ram Janmabhoomi Trust,President of Ram Katha Samiti,Member of Shri Ram Janmabhoomi Teerth Kshetra Trust
529,PM Modi flagged off Maruti Suzuki’s first global strategic battery electric vehicle (BEV) e-VITARA from which Indian city?,Hansalpur (Ahmedabad),Gurugram,Pune,Bengaluru,Chennai,Hansalpur (Ahmedabad)
530,"From 2025 onwards, Ayurveda Day in India will be observed on a fixed date every year. What is this date?",23 September,24 September,25 September,26 September,27 September,23 September
