Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
422,Which bank has been adjudged the World's Best Consumer Bank for 2025 by Global Finance?,HDFC Bank,Axis Bank,ICICI Bank,State Bank of India,Bank of Baroda,State Bank of India
423,Which country co-chaired the recent high-level meeting of the Group of Friends for Accountability for Crimes Against Peacekeepers at the UN?,United States,China,India,Russia,Japan,India
424,Who topped the Avendus Wealth–Hurun India U30 List 2025 as the youngest entrepreneurs?,Nikhil Kamath,Aadit Palicha and Kaivalya Vohra,Ritesh Agarwal,Bhavish Aggarwal,Peyush Bansal,Aadit Palicha and Kaivalya Vohra
425,"What is the name of the annual maritime exercise between India and Singapore, in which the Indian Navy is participating for the 32nd time in 2025?",MILAN,SIMBEX,Malabar,VARUNA,INDRA NAVY,SIMBEX
426,What rare astronomical phenomenon was observed in Ladakh in May 2024 due to a series of Coronal Mass Ejections (CMEs)?,Solar Eclipse,Meteor Shower,Lunar Occultation,Supernova Explosion,Aurora or Northern Lights,Aurora or Northern Lights
427,"Who has been appointed as the new Prime Minister of Ukraine, replacing Denys Shmyhal?",Yulia Svyrydenko,Yulia Tymoshenko,Mykhailo Fedorov,Volodymyr Zelenskiy,Olga Stefanishyna,Yulia Svyrydenko
428,Hindustan Aeronautics Ltd (HAL) received the first set of wing assemblies for which aircraft from L&T?,Sukhoi Su-30 MKI,Rafale,LCA Mk1A,LCH Prachand,Mirage 2000,LCA Mk1A
429,What new service did UIDAI launch on 9th June 2025 to maintain the accuracy of the Aadhaar database?,Aadhaar Virtual ID Generation,Aadhaar Data Update Service,Reporting of Death of a Family Member,Aadhaar-PAN Linking Portal,NRI Aadhaar Registration Service,Reporting of Death of a Family Member
430,What major electoral reform has been proposed by the UK Labour Government in 2024?,Voting age increased to 21,Voting age reduced to 16,Ban on digital voting,Mandatory voter ID for all,Voting limited to UK-born citizens,Voting age reduced to 16
431,Which institution’s scientists were awarded the Rashtriya Krishi Vigyan Puraskar 2025 for Innovation & Technology in Agriculture?,"ICAR-Indian Agricultural Research Institute, New Delhi","ICAR-Sugarcane Breeding Institute, Coimbatore","ICAR-Central Institute of Fisheries Technology, Kochi","Indian Institute of Horticultural Research, Bengaluru","ICAR-National Dairy Research Institute, Karnal","ICAR-Sugarcane Breeding Institute, Coimbatore"
432,Which city has been awarded India’s cleanest city title in the 9th edition of the Swachh Survekshan 2024-25?,Indore,Navi Mumbai,Surat,Prayagraj,Visakhapatnam,Indore
433,What is the recently launched helpline number for waste pickers under the NAMASTE scheme?,14472,14473,14500,14475,14470,14473
434,From which location did India successfully test-fire the Prithvi-II and Agni-I ballistic missiles in July 2025?,Pokhran Range,Wheeler Island,Balasore Air Base,"Integrated Test Range, Chandipur",Sriharikota Launch Pad,"Integrated Test Range, Chandipur"
435,Which advanced attack helicopter is India set to receive from the US after a 15-month delay?,CH-47 Chinook,AH-64E Apache,MI-35,UH-60 Black Hawk,Ka-52 Alligator,AH-64E Apache
436,"Who was the highest-paid bank CEO in India during Financial Year 2024–25, as per the bank’s annual report released in July 2025?",Sashidhar Jagdishan,Uday Kotak,Shyam Srinivasan,Ashok Vaswani,Amitabh Chaudhry,Ashok Vaswani
437,Who has launched the Securities Market Hackathon at the Global Fintech Fest 2025?,RBI,IRDAI,SEBI,NABARD,PFRDA,SEBI
438,Which company recently received final SEBI approval to launch its mutual fund (MF) business and became the youngest AMC in India?,Zerodha Asset Management,Navi Mutual Fund,Groww Mutual Fund,The Wealth Company Asset Management Holdings,Paytm Mutual Fund,The Wealth Company Asset Management Holdings
439,Which organization has recently signed an MoU with Avanti Fellows to provide IIT-JEE and NEET coaching to tribal students of Eklavya Model Residential Schools (EMRSs)?,NCERT,NITI Aayog,CBSE,NIOS,NESTS,NESTS
440,"As per the OECD-FAO Agricultural Outlook 2025–2034, which country is projected to become the world’s largest cotton producer by 2034?",China,Brazil,India,USA,Pakistan,India
441,Who launched the National Standards for Civil Service Training Institutes (NSCSTI) 2.0 under Mission Karmayogi?,Shri Rajnath Singh,Shri Narendra Modi,Dr. Jitendra Singh,Shri Amit Shah,Dr. S. Jaishankar,Dr. Jitendra Singh
442,Which state assembly is set to implement AI-based cameras for real-time monitoring of MLAs’ performance and attendance?,Uttar Pradesh,Gujarat,Maharashtra,Rajasthan,Madhya Pradesh,Uttar Pradesh
443,"INS Sandhayak recently made its maiden hydrographic mission to which country, marking the first visit by an Indian hydrographic vessel there?",Indonesia,Singapore,Vietnam,Malaysia,Philippines,Malaysia
444,"Which Indian cultural heritage site was inscribed as the 44th UNESCO World Heritage Site of India during the 47th session of the World Heritage Committee (WHC) held in Paris, France in 2025?",Hoysala Temples of Karnataka,Maratha Military Landscapes,Kakatiya Rudreshwara Temple,Sacred Ensembles of the Hoysalas,Satpura Tiger Reserve,Maratha Military Landscapes
445,Which dairy company has acquired Osam Dairy for Rs.271 crore?,Amul,Dodla Dairy,Nandini,Heritage Foods,Mother Dairy,Dodla Dairy
446,Which state’s KITE initiative was recognized by UNICEF as a global best practice in responsible EdTech?,Tamil Nadu,Karnataka,Kerala,Maharashtra,Andhra Pradesh,Kerala
447,Under which scheme were the Sant Kabir Handloom Award and National Handloom Awards 2024 presented by the Ministry of Textiles?,PM Mitra Yojana,SAMARTH Scheme,National Handloom Development Programme,Skill India Mission,Atmanirbhar Handloom Scheme,National Handloom Development Programme
448,India’s group standard for which crop was appreciated at the Codex Executive Committee meeting in Rome in July 2025?,Rice,Wheat,Millet,Maize,Pulses,Millet
449,Which country recently completed the ratification of the Trade and Economic Partnership Agreement (TEPA) between India and EFTA?,Switzerland,Norway,Liechtenstein,Iceland,Sweden,Switzerland
450,What is the proposed new name of Islampur town in Sangli district as announced by the Maharashtra government in 2025?,Shivapur,Ramnagari,Ishwarpur,Sanglipur,Harinagar,Ishwarpur
451,What is the name of the Karnataka State Road Transport Corporation's (KSRTC) initiative launched to assist visually impaired passengers?,Dhwanispandana Yojane,Drishtimitra Yojane,Vayusparsha Yojane,Sweekriti Yojane,Swavalamban Travel Scheme,Dhwanispandana Yojane
452,"Which country has been awarded the hosting rights for the ICC World Test Championship (WTC) Finals in 2027, 2029, and 2031?",Australia,India,England,South Africa,New Zealand,England
453,"Which Indian mobile application won the WSIS Prizes 2025 Champion Award in the category “Cultural Diversity and Identity, Linguistic Diversity and Local Content”?",eGram Swaraj,Digital India App,MyGov India,Meri Panchayat,Gram Uday,Meri Panchayat
454,Which two institutions signed an MoU to roll out structured and uniform education for Children with Intellectual Disabilities (CwID) across India?,NCERT and NCPCR,NIEPID and Jai Vakeel Foundation,NIEPID and NIOS,NCPEDP and CBSE,NITI Aayog and National Trust,NIEPID and Jai Vakeel Foundation
455,From which month will the Indian Army begin receiving India-made AK-203 rifles?,October,November,December,January,February,December
456,"Under the PM-VIKAS scheme, how many candidates will be trained at IIIT Kottayam as part of the skill training and women entrepreneurship development project launched by MoMA?",300,450,600,150,500,450
457,"Under the 'One State-One RRB' policy, how many RRBs now remain in India after the latest consolidation drive by the Government of India?",43,56,28,82,196,28
458,"In 2025, which Indian-American economist resigned as the First Deputy Managing Director of the International Monetary Fund (IMF)?",Raghuram Rajan,Arvind Subramanian,Gita Gopinath,Urjit Patel,Abhijit Banerjee,Gita Gopinath
459,What is the name of India’s first fully AI-powered fintech software platform launched by Laraware Pvt. Ltd.?,Nxtbanking,Digibank AI,FinBot,SmartPay Pro,BharatAI Pay,Nxtbanking
460,"What is the key feature of the employment scheme announced by PM Narendra Modi in Motihari, Bihar?",Free skill training for all unemployed youth,"Rs.15,000 incentive to first-time private sector employees",Direct job placement in government sector,Loan waiver for first-time entrepreneurs,"Monthly unemployment allowance of Rs.5,000","Rs.15,000 incentive to first-time private sector employees"
461,Which state government has launched a subsidy of Rs.5 per litre for milk to boost dairy farming?,Uttar Pradesh,Punjab,Assam,Gujarat,Haryana,Assam
462,From which month and year will 9-karat gold be brought under mandatory hallmarking by the Bureau of Indian Standards (BIS)?,January 2025,April 2025,July 2025,October 2025,December 2025,July 2025
463,Which international cruise company has announced its entry into India’s river cruise market with ‘Viking Brahmaputra’?,Royal Caribbean,Carnival Cruise,Viking Cruises,Costa Cruises,MSC Cruises,Viking Cruises
464,What is the target number of interns under the second pilot of the PM Internship Scheme (PMIS) for FY26?,1 lakh,3 lakh,5 lakh,7 lakh,10 lakh,7 lakh
465,Who has been appointed as the head of the National Steering Committee constituted by the Ministry of Skill Development and Entrepreneurship (MSDE) to oversee the ITI upgradation scheme?,Atul Kumar Tiwari,Rajit Punhani,Dharmendra Pradhan,Sanjay Kumar,Arvind Panagariya,Rajit Punhani
466,Larsen & Toubro’s subsidiary L&T Energy Green Tech Limited will establish India’s largest green hydrogen plant at which location?,"Paradip Refinery, Odisha","Bina Refinery, Madhya Pradesh","Mathura Refinery, Uttar Pradesh","Panipat Refinery, Haryana","Vadodara Refinery, Gujarat","Panipat Refinery, Haryana"
467,What is the new loan limit under the revised Stand-Up India scheme to be launched in September 2025?,Rs.1 crore,Rs.1.5 crore,Rs.2 crore,Rs.50 lakh,Rs.75 lakh,Rs.2 crore
468,How many Indian women have been featured in Forbes’ 2025 list of 50 Richest Self-Made Women in the World?,One,Two,Three,Four,None of these,Two
469,Which disease was recently declared eliminated as a public health problem in Senegal by the WHO in 2025?,Yaws,Guinea Worm Disease,Leprosy,Dengue,Trachoma,Trachoma
470,What is the primary objective of the Odisha government's ‘Shaktishree’ programme launched in 2025?,Provide financial aid to female students,Ensure campus safety and well-being of girl students,Promote entrepreneurship among girls,Offer scholarships for STEM courses,Boost sports training for college girls,Ensure campus safety and well-being of girl students
471,What is the purpose of the 'Adi Shapath' session recently organized by the Ministry of Tribal Affairs in Delhi?,Launch of a new tribal welfare scheme,Promote tribal art and culture,Interactive session with stakeholders for tribal upliftment,Recruitment drive for tribal youth,Inauguration of a tribal university,Interactive session with stakeholders for tribal upliftment
472,"What is the theme of International Chess Day 2025, observed on July 20?",Chess for Equality,Checkmate Ignorance,Chess for Peace,Power of Pawns,Every Move Counts,Every Move Counts
473,Why is 22nd July celebrated as Pi Approximation Day?,Because Pi was discovered on this date,Because 22/7 is an approximate value of Pi,Because Einstein was born on this day,Because it is World Mathematics Day,Because it was proposed by Euler,Because 22/7 is an approximate value of Pi
474,When is National Flag Day observed in India to commemorate the adoption of the Indian National Flag?,26 January,22 July,15 August,2 October,25 December,22 July
475,Which bank has launched the zero-balance savings account product named ‘GATI’?,India Post Payments Bank,Paytm Payments Bank,Airtel Payments Bank,Fino Payments Bank,NSDL Payments Bank,Fino Payments Bank
476,What is the value of the Financial Inclusion Index for March 2025 as per RBI?,64.2,66.5,67.0,68.3,69.0,67.0
477,"As per the recent report, which state accounts for the highest share of active GST taxpayers in India?",Maharashtra,Gujarat,Uttar Pradesh,Karnataka,Tamil Nadu,Uttar Pradesh
478,Which organization has signed an MoU with the Ministry of Rural Development to promote the ‘Bima Sakhi Yojana’?,SBI Life Insurance,New India Assurance,Life Insurance Corporation of India,HDFC Life,ICICI Prudential,Life Insurance Corporation of India
479,How much loan has the Asian Development Bank (ADB) sanctioned for infrastructure development in Tripura's industrial belts?,Rs.850 crore,Rs.975.26 crore,"Rs.1,050 crore",Rs.900 crore,"Rs.1,100 crore",Rs.975.26 crore
480,Where was the Advanced Cyber Skill Centre inaugurated by Union Minister Piyush Goyal to empower youth and women in cybersecurity training?,Bengaluru,Hyderabad,Mumbai,Pune,New Delhi,Mumbai
481,Who has been appointed as the Director of the Atal Innovation Mission (AIM) at NITI Aayog?,Dr. Chintan Vaishnav,Deepak Bagla,Amitabh Kant,R. Ramanan,K. Santhanam,Deepak Bagla
482,Which country has emerged as Malaysia’s largest importer of germinating oil palm seeds in 2024?,China,इंडोने,भारत,पा,बांग्लादेश,भारत
483,"Which company recently became India’s third-most valued by market capitalization, surpassing TCS?",ICICI Bank,Infosys,Reliance Jio,Bharti Airtel,LIC,Bharti Airtel
484,"Which long-term open-field experiment in India, focused solely on winter fog, has completed ten years of research at IGI Airport, New Delhi?",FOGSAFE,WiFEX,FOGEX,IND-Fog,AeroFog,WiFEX
485,"Which Indian state has become the first to ensure that every polling station caters to fewer than 1,200 voters?",Uttar Pradesh,Bihar,Madhya Pradesh,Rajasthan,Jharkhand,Bihar
486,Which ministry has launched the development of the Automotive Mission Plan 2047 to make India a global automotive leader by 2047?,Ministry of Road Transport and Highways,Ministry of Commerce and Industry,Ministry of Skill Development and Entrepreneurship,Ministry of Heavy Industries,"Ministry of Micro, Small and Medium Enterprises",Ministry of Heavy Industries
487,"What is the name of the first joint Earth observation satellite developed by NASA and ISRO, scheduled to be launched on July 30, 2025?",Chandrayaan-3,NISAR,RISAT-2BR2,SARAL,CARTOSAT-3,NISAR
488,Which Indian state has proposed a new Devadasi legislation that includes clauses on paternity tests and property rights for Devadasi children?,Tamil Nadu,Maharashtra,Odisha,Andhra Pradesh,Karnataka,Karnataka
489,What is the name of the final Anti-Submarine Warfare Shallow Water Craft (ASW-SWC) ship launched by GRSE for the Indian Navy?,INS Arnala,INS Anjadip,INS Akshay,INS Abhay,INS Ajay,INS Ajay
490,"Which of the following statements is true about V.S. Achuthanandan, who passed away at the age of 101?",He was the first CM of Kerala after its formation,He was a founding member of the Communist Party of India (CPI),He served as the Chief Minister of Kerala from 2006 to 2011,He never held the position of Leader of the Opposition,He was a member of Indian National Congress before joining CPI(M),He served as the Chief Minister of Kerala from 2006 to 2011
491,"Padma Shri awardee and legendary theatre director Ratan Thiyam, who recently passed away at the age of 77, was originally from which Indian state?",Assam,Nagaland,Tripura,Manipur,Sikkim,Manipur
492,When is National Broadcasting Day celebrated in India ?,15 July,18 July,19 July,22 July,23 July,23 July
493,"According to Morgan Stanley, by which year is India expected to become the third-largest economy in the world?",2025,2028,2026,2030,2035,2028
494,Which two organizations have signed a Non-Disclosure Agreement (NDA) to transform inward remittances to India using UPI and UPU Interconnection Platform?,RBI and NPCI,India Post and World Bank,Department of Posts and NPCI International,Ministry of Finance and SWIFT,NPCI and Reserve Bank Innovation Hub,Department of Posts and NPCI International
495,What is the name of the new cross-border payments platform launched by PayPal in partnership with NPCI International and others?,PayPal World,PayLink International,PayPal Global Connect,XPay Network,Borderless Pay,PayPal World
496,Which bank has launched the ‘FCNR(B) Deposit Account’ and ‘Equitas Explorer Savings Account’ to cater to the financial needs of NRIs and Seafarers?,HDFC Bank,ICICI Bank,Equitas Small Finance Bank,YES Bank,Federal Bank,Equitas Small Finance Bank
497,What is the name of the unified reporting platform launched by SEBI and NSE to simplify compliance for stockbrokers?,Digital Compliance Hub,SEBI e-File Portal,Compliance Gateway,MarketLink Portal,Samuhik Prativedan Manch,Samuhik Prativedan Manch
498,Which cooperative bank's license was cancelled by the Reserve Bank of India in July 2025 due to poor financial health and failure to meet regulatory requirements?,The Mapusa Urban Cooperative Bank,The Karwar Urban Cooperative Bank,The Saraswat Cooperative Bank,The Shamrao Vithal Cooperative Bank,The Abhyudaya Cooperative Bank,The Karwar Urban Cooperative Bank
499,Who has been appointed as the new Chairman of the Insurance Regulatory and Development Authority of India (IRDAI) in 2025?,Debasish Panda / देबाशीष पांडा,Tuhin Kanta Pandey / तु,Ajay Seth / अजय सेठ,Sanjay Malhotra / संजय मल्हो,Tarun Bajaj / तरुण बजाज,Ajay Seth / अजय सेठ
500,What is the name of the trade agreement signed between India and the United Kingdom (UK) in 2025 to enhance bilateral trade?,Free Trade Agreement (FTA),Bilateral Economic Agreement (BEA),Comprehensive Economic and Trade Agreement (CETA),Strategic Trade and Investment Pact (STIP),Enhanced Trade Partnership (ETP),Comprehensive Economic and Trade Agreement (CETA)
501,Which international airport has been ranked first in Travel + Leisure Readers’ 10 Favourite International Airports of 2025 list?,"Hamad International Airport, Qatar","Singapore Changi Airport, Singapore","Dubai International Airport, UAE","Zayed International Airport, UAE","Istanbul Airport, Turkey","Istanbul Airport, Turkey"
502,Where is India’s first Centre of Excellence (CoE) for Hornbill Conservation being established?,"Periyar Tiger Reserve, Kerala","Anamalai Tiger Reserve, Tamil Nadu","Bandipur National Park, Karnataka","Silent Valley National Park, Kerala","Mudumalai Tiger Reserve, Tamil Nadu","Anamalai Tiger Reserve, Tamil Nadu"
503,"In which year did India achieve 20% ethanol blending in petrol, five years ahead of its original target?",2022,2023,2024,2025,2030,2025
504,Which Indian state launched the country’s first mining tourism initiative in 2025?,Jharkhand,Chhattisgarh,Odisha,Madhya Pradesh,Rajasthan,Jharkhand
505,What was the title of the conference hosted by MSDE to celebrate 10 years of Skill India Mission?,Skill India Summit 2025,Bharat SkillNxt 2025,Skill@India Expo 2025,Digital Bharat Skills Meet,Kaushal India Mahotsav,Bharat SkillNxt 2025
506,"Which art festival hosted at Rashtrapati Bhavan featured artists from Sohrai, Pattachitra, and Patua traditions in July 2025?",Rashtrapati Kala Mahotsav,Kala Darshan Programme,Artists in Heritage Programme,Kala Utsav – Artists in Residence Programme,National Folk Art Celebration,Kala Utsav – Artists in Residence Programme
507,"What is India’s latest rank in the Henley Passport Index 2025, showing an improvement from the previous year?",80,85,77,70,72,77
508,"Who has been appointed as the new Chairman of the Gujarat Cooperative Milk Marketing Federation (GCMMF), which owns Amul?",Verghese Kurien,Shamal Patel,R.S. Sodhi,Gordhan Dhameliya,Ashok Chaudhary,Ashok Chaudhary
509,Harmanpreet Kaur recently became the third Indian woman to achieve which milestone in ODIs?,100 wickets,"10,000 runs",4000 runs,200 catches,100 stumpings,4000 runs
510,Which state/UT has launched the Mukhyamantri Khel Protsahan Yojana and announced a cash award of Rs.7 crore for Olympic and Paralympic gold medalists?,Delhi,Maharashtra,Haryana,Uttar Pradesh,Punjab,Delhi
511,"According to the Ministry of Commerce & Industry, which category of Intellectual Property (IP) filings recorded the highest growth in India between 2020–21 and 2024–25?",Patents,Trademarks,Designs,Geographical Indications (GI),Copyright,Geographical Indications (GI)
512,Which university has signed an MoU with the Ministry of Panchayati Raj and the Government of Madhya Pradesh to establish a Centre of Excellence on PESA?,Jawaharlal Nehru University (JNU),Banaras Hindu University (BHU),"Indira Gandhi National Tribal University (IGNTU), Amarkantak",Tata Institute of Social Sciences (TISS),Indian Institute of Public Administration (IIPA),"Indira Gandhi National Tribal University (IGNTU), Amarkantak"
513,"As per Finance Ministry data, how much loan amount was written off by PSBs from FY16 to FY25?",Rs.5.82 lakh crore,Rs.9.80 lakh crore,Rs.12.08 lakh crore,Rs.15.30 lakh crore,Rs.17.60 lakh crore,Rs.12.08 lakh crore
514,What is the revised FY26 growth forecast for India by the Asian Development Bank (ADB)?,7.0%,6.0%,6.5%,6.7%,6.3%,6.5%
515,Which bank has partnered with Shriram Life Insurance to act as its corporate agent?,Ujjivan SFB,ESAF Small Finance Bank,Equitas SFB,Jana Small Finance Bank,AU Small Finance Bank,ESAF Small Finance Bank
516,"What is the maximum claim value that can be addressed by the proposed internal ombudsman, as per IRDAI’s draft guidelines?",Rs.10 lakh,Rs.25 lakh,Rs.50 lak,Rs.75 lakh,Rs.1 crore,Rs.50 lak
517,Which university was selected to host one of the four Incubation Centres in the North Eastern Region under the Government of India’s initiative on entrepreneurship development?,Assam University,Manipur University,North-Eastern Hill University,Mizoram University,Nagaland University,Nagaland University
518,"In the EduRank 2025 list of the world’s top 100 agricultural institutions, what is the rank of Punjab Agricultural University (PAU), Ludhiana?",47th,62nd,93rd,100th,Not ranked,93rd
519,"As per the Ministry of Jal Shakti's March 2025 report, which state has recorded the highest number of rural tap water connections?",Maharashtra,Tamil Nadu,Bihar,Uttar Pradesh,Gujarat,Uttar Pradesh
520,The National Expert Committee constituted by the Ministry of Ayush met at which institute to develop safety dossiers for key traditional herbs in 2025?,Central Council for Research in Ayurvedic Sciences (CCRAS),"All India Institute of Ayurveda (AIIA), Goa","National Institute of Ayurveda, Jaipur","Institute of Post Graduate Teaching & Research in Ayurveda, Jamnagar","AIIMS – Ayurveda Division, Delhi","All India Institute of Ayurveda (AIIA), Goa"
521,Which country announced that it will officially recognise the State of Palestine at the UN General Assembly in September 2025?,Germany,United Kingdom,United States,France,Russia,France
522,Which edtech company has launched the Aryabhata 1.0 AI model specifically for JEE Main Maths preparation?,PhysicsWallah,Unacademy,BYJU’S,Vedantu,Khan Academy,PhysicsWallah
523,Which organization hosted the ‘Trade Conclave 2025’ in New Delhi under the theme “Building Export-led Growth for Viksit Bharat”?,Ministry of Commerce and Industry,NITI Aayog,Export Promotion Council,Export-Import Bank of India (EXIM Bank),Confederation of Indian Industry (CII),Export-Import Bank of India (EXIM Bank)
524,Under which national mission were 6 crore people screened for Sickle Cell Disease (SCD) in India?,National Genetic Disorders Eradication Mission,National Tribal Health Initiative,National Sickle Cell Anemia Elimination Mission,Mission Anemia-Free India,Rashtriya Blood Disorder Prevention Yojana,National Sickle Cell Anemia Elimination Mission
525,Which Indian oil refinery has recently been sanctioned by the European Union for the first time as part of its Russia-related sanctions?,Indian Oil Corporation (IOC),Bharat Petroleum Corporation Ltd (BPCL),"Nayara Energy Ltd, Vadinar",Hindustan Petroleum Corporation Ltd (HPCL),Reliance Industries Ltd (RIL),"Nayara Energy Ltd, Vadinar"
526,Who did Divya Deshmukh defeat to reach the final of the FIDE Women’s World Cup 2025?,Lei Tingjie,D. Harika,Tan Zhongyi,Ju Wenjun,R. Vaishali,Tan Zhongyi
527,"As of July 25, 2025, which milestone has Prime Minister Narendra Modi achieved?",Longest-serving Prime Minister of India,First Prime Minister to serve five terms,India’s second-longest-serving Prime Minister in consecutive terms,First Prime Minister from the Armed Forces,First PM to serve without contesting elections,India’s second-longest-serving Prime Minister in consecutive terms
528,How many MoUs were signed between India and the Maldives during Prime Minister Narendra Modi’s visit in July 2025?,6,5,7,8,10,6
529,"How much tax and penalty has the government raised under the Black Money (Undisclosed Foreign Income and Assets) Act, 2015 between July 1, 2015 and March 31, 2025?","Rs.2,476 crore","Rs.4,164 crore","Rs.35,105 crore",Rs.338 crore,"Rs.10,000 crore","Rs.35,105 crore"
530,What is commemorated on 26 July as Kargil Vijay Diwas in India?,Signing of Shimla Agreement,Completion of Operation Meghdoot,India’s victory in the 1971 war,India’s victory in the Kargil War,Start of Operation Cactus,India’s victory in the Kargil War
531,"When is the International Day for Judicial Well-being observed, and what was the theme for 2024?",10 December; Upholding Justice for All,25 July; Justice begins with well-being,14 June; Well-being and Human Rights,21 May; Building Judicial Resilience,"1 October; Health of Judges, Health of Justice",25 July; Justice begins with well-being
532,Which NBFC had the RBI withdrawn the Corrective Action Plan (CAP) from in 2024?,Bajaj Finance,Muthoot Finance,Religare Finvest Limited,L&T Finance,Shriram Finance,Religare Finvest Limited
533,How much capital is IndusInd Bank planning to raise in total?,"Rs.10,000 crore","Rs.26,000 crore","Rs.20,000 crore","Rs.30,000 crore","Rs.15,000 crore","Rs.30,000 crore"
534,How much fund is Sagarmala Finance Corp planning to raise in its first tranche?,"Rs.2,000 crore","Rs.5,000 crore","Rs.4,000 crore","Rs.6,000 crore","Rs.3,500 crore","Rs.4,000 crore"
535,"Why did the RBI recently conduct a Rs.50,000 crore variable rate repo (VRR) auction?",To control inflation,To support rupee exchange rate,Due to GST-related outflows straining liquidity,To regulate foreign investments,Due to rising interest rates,Due to GST-related outflows straining liquidity
536,How much penalty has IRDAI imposed on Star Health for violating cyber security norms?,Rs.5 crore,Rs.2.5 crore,Rs.4 crore,Rs.3.39 crore,Rs.6 crore,Rs.3.39 crore
537,Which Indian bank has launched the country's first biometric authentication solution for e-commerce card transactions?,HDFC Bank,ICICI Bank,State Bank of India,Axis Bank,Federal Bank,Federal Bank
538,In which state did DRDO successfully test the ULPGM-V3 missile from a UAV?,Telangana,Andhra Pradesh,Odisha,Tamil Nadu,Karnataka,Andhra Pradesh
539,What has the Parliamentary Estimates Committee recommended for organic crops?,Removal of all MSPs,Same MSP as regular crops,No MSP needed,Separate MSP for organic crops,MSP only for export crops,Separate MSP for organic crops
540,"As per the report, by how much is India’s chemical exports to the UK expected to grow by 2025–26?",30–40%,20–25%,70–80%,50–60%,10–15%,30–40%
541,"Under the India-UK CETA agreement, what percentage of India’s agricultural and processed food products will be allowed zero-duty access to the UK market?",75%,85%,90%,95%,100%,95%
542,Araku Valley Coffee received duty-free access under Free Trade Agreement with which country?,USA,Australia,United Kingdom,Germany,Japan,United Kingdom
543,"According to Union Minister Dr. Jitendra Singh, what are the 3 A’s needed to meet the aspirations of Indian youth?","Ability, Aim, Action","Awareness, Aptitude, Avenue","Awareness, Ambition, Achievement","Aspire, Apply, Achieve",None of the above,"Awareness, Aptitude, Avenue"
544,What is the primary objective of the Palna Scheme under Mission Shakti’s Samarthya vertical?,Providing nutrition supplements to pregnant women,Offering employment to rural women,Bridging the childcare gap by offering crèche facilities,Supporting women entrepreneurs,Providing free education to girl children,Bridging the childcare gap by offering crèche facilities
545,"According to the World Bank report, how much funding will Indian cities require by 2050 for climate-resilient infrastructure?",$1.2 trillion,$2.4 trillion,$3.0 trillion,$5.5 trillion,$950 billion,$2.4 trillion
546,What is the total number of enrolments under Atal Pension Yojana as of the current fiscal?,6 crore,7 crore,8 crore,9 crore,10 crore,8 crore
547,Who has been appointed as the full-time Chief Executive Officer (CEO) of the Indian Olympic Association (IOA)?,Anurag Thakur,Raghuram Iyer,Rohit Rajpal,Neeraj Chopra,Rajeev Mehta,Raghuram Iyer
548,Where is the 14th edition of the India–Singapore Joint Military Exercise ‘Bold Kurukshetra 2025’ being held?,Pune,Jodhpur,Hyderabad,Wellington,Dehradun,Jodhpur
549,Which state has the highest crop insurance premium default under PMFBY as of FY25?,Rajasthan,Madhya Pradesh,Andhra Pradesh,Uttar Pradesh,Tamil Nadu,Andhra Pradesh
550,Who has been awarded the GP Birla Memorial Award in 2025?,Dr. S. Somanath,Dr. Venkataraman Ramakrishnan,Dr. A. P. J. Abdul Kalam,Dr. V. Narayanan,Dr. Jogesh Pati,Dr. V. Narayanan
551,What is the objective of NASA’s recently launched TRACERS mission?,Study asteroid impacts on Earth,Monitor Mars' atmosphere,Explore the Moon’s polar regions,Study Earth’s magnetic defense against space storms,Detect exoplanets beyond the solar system,Study Earth’s magnetic defense against space storms
552,When is the 87th Raising Day of the Central Reserve Police Force (CRPF) observed?,August 15,July 27,December 28,June 1,January 26,July 27
553,Who has been nominated as Director on the RBI Central Board in July 2025?,T. V. Somanathan,Ajay Seth,Anuradha Thakur,Tarun Bajaj,Nirmala Sitharaman,Anuradha Thakur
554,KredX partnered with which bank to enhance digital trade finance using the TReDS platform?,State Bank of India,Canara Bank,HDFC Bank,ICICI Bank,Bank of Baroda,Canara Bank
555,"As per IRDAI’s new directive, how many Gram Panchayats are to be covered by insurers over the next two years?","50,000","25,000","1,00,000","75,000","60,000","75,000"
556,"Which Indian bank’s Hong Kong branch was fined HK$850,000 (around Rs.9.3 crore) by the Hong Kong Monetary Authority in 2025?",State Bank of India,Punjab National Bank,Bank of Baroda,Indian Overseas Bank,Canara Bank,Indian Overseas Bank
557,"As of March 31, 2025, how many unique corporate borrowers have been classified as wilful defaulters by India’s public sector banks?","1,210","1,489","1,629","1,745","1,890","1,629"
558,"As per the latest Morning Consult survey (July 2025), which leader has the highest global approval rating?",Lee Jae-myung,Javier Milei,Narendra Modi,Donald Trump,Justin Trudeau,Narendra Modi
559,Which Act was amended by the Government in 2023 to curb digital piracy in the creative sector?,"Copyright Act, 1957","Information Technology Act, 2000","Cinematograph Act, 1952","Indian Penal Code, 1860","Digital Media Regulation Act, 2021","Cinematograph Act, 1952"
560,Who is the author of the book ‘The Rise of the Hitman’ based on Rohit Sharma’s journey?,Boria Majumdar,R. Kaushik,Harsha Bhogle,Rajdeep Sardesai,Sanjay Manjrekar,R. Kaushik
